用户昵称,评价日期,订单id,商品id,商品名称,商品规格,商品评价得分,评价内容,评价等级,追评内容,追评时间,商家是否回复,回复内容,门店id,门店名称
一**6,2025年10月20日 23:43:55,6921712570538163412,3756545185811661339,【小王家】复古深蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
堃**v,2025年10月20日 23:34:41,6921759481309920992,3780124786047451232,【小王家】米杏色 复古蓝阔腿弯刀牛仔裤女2025秋季宽松显瘦651039,米杏色-常规(163cm以内)/M(100-115斤),5,有点肥，但是很漂亮,好评,,,否,,,
♡**0,2025年10月20日 23:23:27,6947099188794365839,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,原牛黑-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
~**x,2025年10月20日 23:22:19,6921750944356925053,3775285281557709193,小王家牛仔裤子女25年秋季款中高腰显瘦时尚阔腿裤通勤穿搭89138,杏色-常规(163cm以内)/27(95-105斤),4,质量挺好的,好评,,,否,,,
☀**d,2025年10月20日 23:22:18,6946823268012135487,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,杏色-常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
T**0,2025年10月20日 23:18:41,6946942662135191193,3712994054246629657,小王家牛仔裤女秋季窄版百搭复古水洗通勤穿搭琥珀系穿搭89082,丹宁色-高个子(163CM以上)/30(125-135斤),5,,好评,,,否,,,
荷**p,2025年10月20日 23:13:42,6921509669272387334,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,丹宁色-高个子(163cm以上)/28(105-115斤),5,上身感觉很好,好评,,,否,,,
冰**p,2025年10月20日 23:13:29,6921662132419788722,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,丹宁色-常规(163cm以内)/30(130-140斤),5,,好评,,,否,,,
🌰**4,2025年10月20日 23:10:34,6921802103267426001,3774004483495952524,小王家显瘦阔腿裤25年秋季中高腰宽松水洗牛仔裤琥珀系穿搭68061,复古蓝-常规(163cm以内)/XS(85斤以内),5,裤子版型很好看，穿着尺码很合适,好评,,,否,,,
兜**v,2025年10月20日 23:10:16,6946971244916118613,3751359783949697316,小王家刺绣款牛仔女中高腰复古水洗牛仔长裤琥珀系穿搭89081,复古蓝-高个子(163-173cm)/25(85斤以内),5,,好评,,,否,,,
L**j,2025年10月20日 23:10:03,6946961028723643773,3769341564246163539,小王家不贴腿微喇牛仔裤女25年新款中高腰丹宁色小个子牛仔33003,丹宁色-小个子(148-155cm)/L(105-115斤),0,,差评,穿一次就这个样子，皱皱巴巴,2025-11-06 14:09:55,否,,,
冯**x,2025年10月20日 23:09:29,6921820961472806294,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-高个子(163cm以上)/28(110-120斤),5,质量很好，颜色也很正，好评,好评,,,否,,,
元**2,2025年10月20日 23:04:14,6946823867452953832,3775285281557709193,【小王家】复古蓝 杏色 丹宁色 黑色牛仔裤女25年秋季款显瘦阔腿裤89138,杏色-高个子(163cm以上)/30(125-135斤),5,,好评,,,否,,,
