用户昵称,评价日期,订单id,商品id,商品名称,商品规格,商品评价得分,评价内容,评价等级,追评内容,追评时间,商家是否回复,回复内容,门店id,门店名称
A**l,2025年10月31日 23:56:16,6947338430220473583,3779241592620188735,【巴黎步调】小王家四面弹蜡笔裤女显瘦弹力时尚修身牛仔裤通勤九分裤81091,原生色/29(115-125斤),5,,好评,,,否,,,
蓓**t,2025年10月31日 23:54:57,6922002973397581595,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
A**p,2025年10月31日 23:48:56,6947316261555279762,3767692047738339600,【雪糕专属】小王家显瘦阔腿裤女25年新款复古水洗设计感宽松牛仔裤89235,怀旧蓝-高个子(163cm以上)/S(85-100斤),0,,差评,收到就开线了,2026-02-26 17:10:20,否,,,
漫**l,2025年10月31日 23:39:52,6921975875678928832,3780282289100030380,【小王家】丹宁色 复古蓝 杏色显瘦牛仔裤女新款阔腿裤通勤穿搭89138,丹宁色-高个子(163cm以上)/29(115-125斤),5,,好评,,,否,,,
青**z,2025年10月31日 23:35:13,6922077777470585915,3721666757119836639,小王家秋冬新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,丹宁色-高个子(163cm以上)/30(125-135斤),5,,好评,,,否,,,
以**4,2025年10月31日 23:30:21,6922057507669244948,3780510753333837935,【小王家】复古蓝不贴腿微喇牛仔裤女中高腰显瘦筒喇裤89231,复古蓝-小个子(148-155cm)/L(110-125斤),5,,好评,,,否,,,
⁺**v,2025年10月31日 23:29:06,6922004266561731833,3774959787343741100,【胖和小友】小王家阔腿弯刀牛仔裤女2025秋冬宽松显瘦垂感拖地裤651039,米杏色-高个子(163cm以上)/L(115-125斤),4,我165，61kg，偏h型，腰头大了，长度倒是刚好,好评,,,否,,,
6**v,2025年10月31日 23:28:00,6947534743412938064,3780312246345924787,小王家一裤两穿牛仔裤女25年新款复古宽松显瘦水洗阔腿长裤89316,复古蓝-高个子(163cm以上)/28(110-120斤),5,好看好穿。,好评,,,否,,,
木**l,2025年10月31日 23:27:08,6921767398995754656,3780500149084750150,【九九定制】【赠腰带+运费险】小王家25年秋冬新款中高腰复古小个子阔腿裤68055,复古蓝-小个子(148-155cm)/S(85-95斤),3,这个价格只能说一般，说实话不值这个钱，但是嫌退货麻烦，感觉就70左右的质量,中评,,,否,,,
辉**t,2025年10月31日 23:13:08,6921628442845150440,3756545185811661339,【小王家】复古深蓝 复古蓝 丹宁色 灰杏色弯刀裤女秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/27(100-110斤),4,与輝同行，沐光而行，从心出发,好评,,,否,,,
潘**j,2025年10月31日 23:09:13,6922062254728838760,3771745006495334540,小王家丹宁色牛仔裤25年秋季款宽松显瘦刺绣款阔腿裤百搭68051,复古蓝-高个子(163cm以上)/XL(125-135斤),5,价格实惠，质量好，非常满意,好评,,,否,,,
-**0,2025年10月31日 23:04:58,6947113579678930035,3721666757119836639,小王家秋季新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),1,颜色色差大，图片上的蓝色很好看，拿到手之后是那种旧旧的蓝色，很脏的感觉那种蓝色，没有质感，版型是比较显瘦，一点弹力没有,差评,,,否,,,
你**8,2025年10月31日 23:02:10,6947395219243472431,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
笨**h,2025年10月31日 23:02:05,6947421707153708806,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,丹宁色-常规(163cm以内)/29(120-130斤),5,,好评,,,否,,,
单**2,2025年10月31日 23:01:25,6946994171963381675,3699591836483060167,【小王家】高腰宽松显瘦时尚百搭阔腿裤女2025新款牛仔阔腿长裤89082,丹宁色-常规厚绒(163CM以内)/29(115-125斤),5,裤腿比想象中宽点，可能是我的个头矮，我158高，116斤，腰围粗有肚子没屁股😭😭穿出来效果不是很好~裤子质量和舒适度还是挺好的~,好评,,,否,,,
一**2,2025年10月31日 22:49:11,6947359591990433510,3780282289100030380,【小王家】丹宁色 复古蓝 杏色显瘦牛仔裤女新款阔腿裤通勤穿搭89138,复古蓝-高个子(163cm以上)/28(105-115斤),5,,好评,,,否,,,
ᶻ**b,2025年10月31日 22:35:12,6947387843124860006,3782575168010977452,【曼曼专属】2025秋冬新款微喇裤中高腰牛仔裤女款显瘦显腿细简约通勤653019,复古蓝【常规】(163cm以内)/M(100-110斤),4,宽松版型 上身效果非常好很百搭没有多余的线头,好评,,,否,,,
能**r,2025年10月31日 22:34:36,6947528112934294979,3780312246345924787,小王家一裤两穿牛仔裤女25年新款复古宽松显瘦水洗阔腿长裤89316,复古蓝-高个子(163cm以上)/29(120-130斤),5,,好评,,,否,,,
飞**8,2025年10月31日 22:31:42,6947192957504984908,3721666757119836639,【三重奏】小王家秋季新款裤子女中阔腿裤通勤穿搭琥珀系穿搭89138,原生色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
小**0,2025年10月31日 22:29:40,6922056030315511092,3782152974881652820,【腊肠狗】小王家秋冬新款加绒牛仔裤女黑灰色宽松显瘦阔腿裤长裤79002,黑灰色-植绒常规(155-163cm)/XS(85斤以内),5,第二次购买，都很满意，面料柔软舒适，大小合适，长度合适，终于找到属于小个子的牛仔裤了，很推荐的一家牛仔裤,好评,,,否,,,
番**v,2025年10月31日 22:27:25,6946801881635624006,3775285281557709193,小王家牛仔裤子女25年秋季款中高腰显瘦时尚阔腿裤通勤穿搭89138,丹宁色-常规(163cm以内)/28(105-115斤),3,买的小个子款，对于小个子不太友好，还是偏长,中评,,,否,,,
好**2,2025年10月31日 22:18:31,6947181933499193042,3781220412944417229,小王家刺绣款牛仔裤女25年新款中高腰复古水洗牛仔阔腿长裤521011,黑灰色-常规(160cm以内)/26(90-100斤),5,,好评,,,否,,,
晴**n,2025年10月31日 22:13:38,6921979673374457187,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝-高个子(163cm以上)/M(100-115斤),5,,好评,,,否,,,
小**2,2025年10月31日 22:11:57,6946679247123584515,3774938087038255371,小王家新款刺绣款牛仔阔腿裤女中高腰复古水洗宽松牛仔长裤89081,丹宁色-小个子(153-163cm)/28(105-115斤),5,"裤子质量很好很满意，
上身效果：很喜欢满意
尺码建议：尺码标准
面料质感：偏厚一点",好评,,,否,,,
叮**2,2025年10月31日 22:11:47,6947173023304586762,3781220412944417229,小王家刺绣款牛仔裤女25年新款中高腰复古水洗牛仔阔腿长裤521011,丹宁色-常规(160cm以内)/28(110-120斤),5,,好评,,,否,,,
溪**l,2025年10月31日 22:10:48,6947410470031201988,3780282289100030380,【小王家】丹宁色 复古蓝 杏色显瘦牛仔裤女新款阔腿裤通勤穿搭89138,杏色-常规(163cm以内)/28(105-115斤),5,嗯质量非常的好，上身的效果也非常的好，纯棉的不错，棒棒的,好评,,,否,,,
-**6,2025年10月31日 22:03:23,6947468982811169978,3775285281557709193,小王家牛仔裤子女25年秋季款中高腰显瘦时尚阔腿裤通勤穿搭89138,丹宁色-常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
深**6,2025年10月31日 22:01:42,6947474836034163725,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝-常规(155-163cm)/M(100-115斤),5,合适，就是气味有些大，需要晾晾,好评,,,否,,,
云**0,2025年10月31日 21:58:59,6947155480193275363,3756545185811661339,小王家弯刀裤女25年秋季新款中宽松设计感牛仔裤琥珀系穿搭86011,复古深蓝-植绒常规(163cm以内)/26(90-100斤),5,五星好评,好评,,,否,,,
3**r,2025年10月31日 21:57:12,6947514500507309385,3780312246345924787,小王家一裤两穿牛仔裤女25年新款复古宽松显瘦水洗阔腿长裤89316,复古蓝-常规(163cm以内)/27(100-110斤),5,,好评,,,否,,,
花**6,2025年10月31日 21:53:06,6947375508266423924,3741522584211161408,【小王家】复古蓝  质感蓝  杏色阔腿牛仔裤89081,杏色-小个子(153-163cm)/28(105-115斤),5,,好评,,,否,,,
Y**n,2025年10月31日 21:50:17,6922047853614694309,3775259275304239104,小王家高弹微喇牛仔裤女25年新款中高腰修身显瘦黑灰色牛仔裤8361,黑灰色-常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
简**l,2025年10月31日 21:48:54,6922053174454287434,3780510753333837935,【小王家】复古蓝不贴腿微喇牛仔裤女中高腰显瘦筒喇裤89231,复古蓝-小个子(148-155cm)/S(90-100斤),5,特别特别好！做工好！颜色好！版型好！与辉同行很好！,好评,,,否,,,
阿**h,2025年10月31日 21:44:05,6922004136655683181,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-常规(163cm以内)/27(100-110斤),5,太满意了版型好质量好,好评,,,否,,,
