用户昵称,评价日期,订单id,商品id,商品名称,商品规格,商品评价得分,评价内容,评价等级,追评内容,追评时间,商家是否回复,回复内容,门店id,门店名称
两**8,2025年11月29日 23:58:13,6922626507229200291,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
光**0,2025年11月29日 23:41:18,6948110541019289293,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年秋季新款牛仔裤86011,复古深蓝-常规(163cm以内)/26(90-100斤),3,"尺码建议：我身高163，体重110斤，开始买的27，大了，但是裤子的版型和车缝技术都惊艳了我。
退了27的，再下单26的，第一次第二次，两次都是车缝有问题，
然后第三次下单26的，裤子后袋那里脏兮兮的，像穿脏了没洗一样，
不死心的我第四次下单26的，裤脚还是有一点点脏，洗了一下能洗掉，收下了。

买条如意的裤子真的是太难太难了。",中评,,,否,,,
嫣**v,2025年11月29日 23:06:29,6948361901737186721,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒高个子(163cm以上)/29(115-125斤),5,,好评,,,否,,,
妍**4,2025年11月29日 22:59:44,6922507244225265296,3784163558636519482,《黑丫头》小王家牛仔阔腿裤女25年新款中高腰显瘦宽松牛仔裤通勤百搭89325,黑灰色-高个子(163cm以上)/28(110-120斤),5,客服很暖心,好评,,,否,,,
我**z,2025年11月29日 22:57:43,6947840902526015349,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-常规(163cm以内)/29(115-125),4,显瘦，好看，有小肚子的都去拍。,好评,,,否,,,
云**z,2025年11月29日 22:55:44,6922605015719116641,3771391360960167942,小王家微喇牛仔裤女25年新款中高腰修身显瘦黑灰色高弹牛仔裤8361,黑灰色-植绒常规(163cm以内/裤长98cm起)/30(125-135斤),5,,好评,,,否,,,
甘**t,2025年11月29日 22:50:44,6922629439822986669,3769703612717072805,【丹丹专属】小王家冬季新款弯刀牛仔裤中高腰宽松显瘦怀旧水洗牛仔阔腿68007,怀旧色-植绒小个子(148-155cm)/M(100-110斤),5,,好评,,,否,,,
静**n,2025年11月29日 22:36:17,6948235529683932573,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),5,第一次买东西评价，感觉不来评价对不起自己的良心！收到货后试穿，感觉太舒服了！老公也赞不绝口，说比你买的600多一条的裤子都好看！今晚的心情因为这条裤子很美丽！以后还会来回购的！,好评,与辉同行选品真不错！祝与辉同行越来越好！祝商家保持品质，生意兴隆！,2025-11-29 22:40:10,否,,,
遗**p,2025年11月29日 22:32:39,6948008914177496635,3721666757119836639,小王家秋冬新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,丹宁色-常规(163cm以内)/29(115-125斤),1,我也不知道好评怎么的，裤子厚，又硬。磨的脚生疼。不值这个价,差评,,,否,,,
H**2,2025年11月29日 22:26:03,6922491780891508211,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒高个子(163cm以上)/28(105-115斤),5,,好评,,,否,,,
H**2,2025年11月29日 22:25:54,6922620017573068275,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,杏色-厚绒高个子(163cm以上)/27(95-105斤),5,,好评,,,否,,,
清**2,2025年11月29日 22:20:33,6948430030220432879,3784599083361108377,【九九定制】小王家百搭秋冬新款直筒阔腿裤女2025年爆款休闲琥珀系穿搭68075,复古蓝-厚绒小个子(148-155cm)/M(95-105斤),5,,好评,,,否,,,
糖**h,2025年11月29日 22:18:52,6948421758711043399,3788490624286720058,【弯刀宣言】小王家牛仔裤女25年新款中高腰宽松显瘦弯刀阔腿裤通勤百搭89301,奶茶色-厚绒高个子(163cm以上)/28(110-120斤),5,,好评,,,否,,,
ℋ**0,2025年11月29日 22:17:02,6922503226768850301,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒高个子(163cm以上)/29(115-125斤),5,,好评,,,否,,,
小**0,2025年11月29日 22:16:32,6948189558667417014,3721666757119836639,小王家秋冬新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
🍏**j,2025年11月29日 22:12:28,6922668145882135749,3767321355570249751,小王家腊肠狗显瘦女25年款复古牛仔裤通勤穿搭琥珀系穿搭89235,怀旧蓝-高个子(163cm以上)/L(115-125斤),4,,好评,,,否,,,
@**x,2025年11月29日 22:11:44,6948374576296498424,3785308337155997885,小王家牛仔阔腿裤女25年新款中高腰显瘦宽松牛仔裤通勤百搭89325,复古蓝-常规(163cm以内)/25(90斤以内),5,,好评,,,否,,,
不**t,2025年11月29日 22:05:54,6922426360990105365,3786441564235104469,小王家冬季新款牛仔裤女25年中高腰宽松显瘦加绒阔腿牛仔裤89321,丹宁色-植绒高个子(160cm以上)/29(120-130斤),4,,好评,洗了两次线头全出来了 这真的是180的裤子吗 我真服了,2026-01-02 10:40:34,否,,,
糖**8,2025年11月29日 21:59:13,6922641704075231127,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/28(105-115斤),4,,好评,,,否,,,
不**4,2025年11月29日 21:59:11,6948352900734063997,3780506909430382650,小王家厚绒新款裤子女中高腰时尚阔腿裤通勤穿搭琥珀系穿搭89138,杏色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
用**0,2025年11月29日 21:49:54,6948187189972833558,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒高个子(163cm以上)/28(105-115斤),5,,好评,,,否,,,
皮**4,2025年11月29日 21:44:41,6922600973425475331,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/29(115-125斤),5,加绒细腻，保暖但不臃肿，搭配宽松上衣很时尚。布料质量不错,好评,,,否,,,
小**4,2025年11月29日 21:44:06,6922554568872919016,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,怀旧蓝-厚绒高个子(163cm以上)/27(95-105斤),5,,好评,,,否,,,
柳**z,2025年11月29日 21:39:09,6922584675046882699,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒高个子(163cm以上)/28(105-115斤),3,质量一般，160买的加长款还是太短了，我都怀疑她是不是发错货了,中评,,,否,,,
田**6,2025年11月29日 21:37:51,6922601829411880825,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
👑**8,2025年11月29日 21:37:36,6922596387858644405,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年新款牛仔裤86011,复古深蓝-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
吴**n,2025年11月29日 21:33:05,6922637690492386356,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/29(115-125),5,,好评,,,否,,,
文**8,2025年11月29日 21:30:02,6948372601990289262,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
Z**6,2025年11月29日 21:29:50,6948406677559121105,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,怀旧蓝-厚绒高个子(163cm以上)/30(125-135),5,,好评,,,否,,,
l**4,2025年11月29日 21:23:40,6948378654757753986,3784421091351593679,《压箱底神裤》小王家厚绒牛仔裤女25新款显瘦阔腿裤通勤百搭89081,怀旧蓝-常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
人**v,2025年11月29日 21:22:02,6948164603074254165,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,怀旧蓝-厚绒常规(163cm以内)/25(85斤以内),5,,好评,,,否,,,
子**2,2025年11月29日 21:13:21,6948182556884341763,3782766145837334838,【浪里个浪】小王家刺绣款牛仔裤女25年秋冬新款中高腰水洗牛仔阔腿长裤521011,复古蓝-厚绒常规(155-163cm)/30(125-135斤),5,,好评,,,否,,,
子**2,2025年11月29日 21:13:12,6948182524831601667,3784420116243022314,小王家加绒刺绣款牛仔裤女新款中高腰复古水洗牛仔阔腿长裤521011,丹宁色-厚绒常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
夜**t,2025年11月29日 21:11:07,6922594129068916033,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
谢**2,2025年11月29日 21:07:52,6948152069789783561,3782895841174487390,【小王家】冬季厚绒牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,怀旧蓝-厚绒常规(163cm以内)/27(95-105斤),5,"上身效果：超级无敌合适！
尺码建议：158cm，50kg，肚子有肉类型
目前为止，今年买到最好的裤子，平底鞋差不多刚好，可能会拖一点点，厚底鞋不会短，主要是穿着特别舒服，腰围也刚好，裤子加绒但不厚重，看着都不太像加绒的那种，版型超级好的，裤裆也不会低。与辉同行真的好会选品啊",好评,,,否,,,
韦**4,2025年11月29日 21:01:12,6948405552521025329,3786051409372381955,【小王家】丹宁色 复古蓝 黑灰色刺绣款牛仔裤女冬季新款阔腿长裤89296,黑灰色-厚绒常规(163cm以内)/28(105-115斤),3,,中评,,,否,,,
女**v,2025年11月29日 20:59:33,6948409740447061914,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,杏色-厚绒高个子(163cm以上)/29(115-125),5,,好评,,,否,,,
试**0,2025年11月29日 20:57:07,6948416046799262924,3769703612717072805,小王家冬季新款弯刀牛仔裤中高腰宽松显瘦怀旧水洗牛仔阔腿68007,黑灰-小个子植绒(148-155cm)/L(110-120斤),5,,好评,,,否,,,
小**0,2025年11月29日 20:56:32,6948422609697773133,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/28(105-115斤),5,质量很好，比线下买的299的好多了，而且适合小个子的我，下次裤子锁定小王家🥰🥰🥰,好评,,,否,,,
缘**4,2025年11月29日 20:50:29,6948196570892998068,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒高个子(163cm以上)/30(125-135斤),5,,好评,,,否,,,
小**8,2025年11月29日 20:38:30,6948451045015230400,3786257071691924079,【小王家】怀旧色 丹宁色冬季新款牛仔裤女显瘦阔腿裤百搭通勤89279,怀旧色-厚绒常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
小**8,2025年11月29日 20:38:10,6948455086494783424,3780506909430382650,《三重奏》小王家厚绒裤子女中高腰阔腿裤通勤穿搭琥珀系穿搭89138,丹宁色-厚绒常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
罗**4,2025年11月29日 20:35:49,6948306441788265597,3779761874447499600,《浪里个浪》小王家25年新款中高腰复古水洗休闲牛仔阔腿长裤521011,复古蓝-常规植绒(163cm以内)/25(85斤以内),5,,好评,,,否,,,
倚**b,2025年11月29日 20:35:26,6948420671965762756,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒高个子(163cm以上)/30(125-135),5,在与辉同行给闺女买的丹宁色，她很喜欢，穿着很舒服,好评,,,否,,,
熙**8,2025年11月29日 20:34:04,6948447697106114454,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/28(105-115斤),4,,好评,,,否,,,
W**n,2025年11月29日 20:31:59,6922505346548268884,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
海**4,2025年11月29日 20:29:19,6948337277782267274,3784421091351593679,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/30(125-135斤),5,,好评,,,否,,,
r**8,2025年11月29日 20:29:04,6948303339718317289,3787900768644890675,小王家复古刺绣款牛仔裤女25年新款中高腰水洗牛仔阔腿长裤521011,复古蓝-常规厚绒(160cm以内)/28(110-120斤),5,,好评,,,否,,,
☀**t,2025年11月29日 20:26:27,6948354534477076118,3780131984555245756,【小王家】复古深蓝  丹宁色  灰杏色弯刀裤女25年新款牛仔裤86011,灰杏色-常规(163cm以内)/27(100-110斤),5,质量很棒～超级喜欢的，值得购买～,好评,,,否,,,
P**4,2025年11月29日 20:25:34,6948392228448310297,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-常规(163cm以内)/29(115-125斤),5,,好评,,,否,,,
颜**8,2025年11月29日 20:21:10,6922645346598092406,3782895841174487390,小王家冬季厚绒牛仔裤女25年新款显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/25(85斤以内),5,裤子质量很好，腰围大小合适，偏长一点点，身高161，体重130参考一下,好评,,,否,,,
ᝰ**l,2025年11月29日 20:16:34,6948357051363759188,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,丹宁色-厚绒常规(163cm以内)/29(115-125斤),4,,好评,,,否,,,
奈**8,2025年11月29日 20:06:46,6948365897379878129,3780506909430382650,【小王家】丹宁色 复古蓝 杏色厚绒牛仔裤女中高腰阔腿裤通勤穿搭89138,复古蓝-厚绒常规(163cm以内)/26(85-95斤),5,,好评,,,否,,,
火**6,2025年11月29日 20:05:38,6948404190661973680,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/25(85斤以内),5,,好评,,,否,,,
玉**d,2025年11月29日 20:03:53,6948231304537970560,3779178540445073749,黑灰色弯刀裤女25年秋冬复古设计师牛仔裤阔腿裤86011,黑灰色-常规(163cm以内)/28(110-120斤),5,,好评,,,否,,,
松**0,2025年11月29日 20:02:51,6922624934127107196,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/27(95-105斤),5,,好评,,,否,,,
H**2,2025年11月29日 19:58:55,6948420616029476488,3782895841174487390,【小王家】冬季新款牛仔裤女丹宁色 杏色 怀旧蓝显瘦阔腿裤通勤百搭89081,丹宁色-厚绒常规(163cm以内)/29(115-125),5,,好评,,,否,,,
骄**x,2025年11月29日 19:58:04,6922598506293591632,3772520898897248477,小王家刺绣款牛仔裤女25年秋冬新款中高腰水洗牛仔阔腿长裤89296,复古蓝-植绒常规(155-163cm)/28(105-115斤),5,,好评,,,否,,,
M**4,2025年11月29日 19:56:23,6922316522040163677,3782152974881652820,小王家秋冬新款加绒牛仔裤女黑灰色宽松显瘦阔腿裤长裤79002,黑灰色-植绒常规(155-163cm)/M(100-115斤),1,很少评论，版型不太好，穿一次就膝盖处就鼓包，,差评,,,否,,,
